"HostName","Name","Path","Description","CurrentUsers","CompressData","EncryptData","Type","IdentityReference","FileSystemRights","AccessControlType","Error"
"DC-SRV01","C$","C:\","Default share","0","False","False","PATH ACL","BUILTIN\Administrators","FullControl","Allow",
"DC-SRV01","C$","C:\","Default share","0","False","False","PATH ACL","BUILTIN\Users","CreateFiles","Allow",
"DC-SRV01","C$","C:\","Default share","0","False","False","PATH ACL","BUILTIN\Users","AppendData","Allow",
"DC-SRV01","C$","C:\","Default share","0","False","False","PATH ACL","BUILTIN\Users","ReadAndExecute, Synchronize","Allow",
"DC-SRV01","C$","C:\","Default share","0","False","False","PATH ACL","CREATOR OWNER","FullControl","Allow",
"DC-SRV01","C$","C:\","Default share","0","False","False","PATH ACL","NT AUTHORITY\SYSTEM","FullControl","Allow",
"DC-SRV01","C$","C:\","Default share","0","False","False","PATH ACL","NT SERVICE\TrustedInstaller","Owner","Owner",
"DC-SRV01","ADMIN$","C:\Windows","Remote Admin","0","False","False","PATH ACL","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","ReadAndExecute, Synchronize","Allow",
"DC-SRV01","ADMIN$","C:\Windows","Remote Admin","0","False","False","PATH ACL","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","ReadAndExecute, Synchronize","Allow",
"DC-SRV01","ADMIN$","C:\Windows","Remote Admin","0","False","False","PATH ACL","APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES","ReadAndExecute, Synchronize","Allow",
"DC-SRV01","ADMIN$","C:\Windows","Remote Admin","0","False","False","PATH ACL","APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES","ReadAndExecute, Synchronize","Allow",
"DC-SRV01","ADMIN$","C:\Windows","Remote Admin","0","False","False","PATH ACL","BUILTIN\Administrators","Modify, Synchronize","Allow",
"DC-SRV01","ADMIN$","C:\Windows","Remote Admin","0","False","False","PATH ACL","BUILTIN\Administrators","FullControl","Allow",
"DC-SRV01","ADMIN$","C:\Windows","Remote Admin","0","False","False","PATH ACL","BUILTIN\Users","ReadAndExecute, Synchronize","Allow",
"DC-SRV01","ADMIN$","C:\Windows","Remote Admin","0","False","False","PATH ACL","BUILTIN\Users","ReadAndExecute, Synchronize","Allow",
"DC-SRV01","ADMIN$","C:\Windows","Remote Admin","0","False","False","PATH ACL","CREATOR OWNER","FullControl","Allow",
"DC-SRV01","ADMIN$","C:\Windows","Remote Admin","0","False","False","PATH ACL","NT AUTHORITY\SYSTEM","Modify, Synchronize","Allow",
"DC-SRV01","ADMIN$","C:\Windows","Remote Admin","0","False","False","PATH ACL","NT AUTHORITY\SYSTEM","FullControl","Allow",
"DC-SRV01","ADMIN$","C:\Windows","Remote Admin","0","False","False","PATH ACL","NT SERVICE\TrustedInstaller","FullControl","Allow",
"DC-SRV01","ADMIN$","C:\Windows","Remote Admin","0","False","False","PATH ACL","NT SERVICE\TrustedInstaller","FullControl","Allow",
"DC-SRV01","ADMIN$","C:\Windows","Remote Admin","0","False","False","PATH ACL","NT SERVICE\TrustedInstaller","Owner","Owner",
"DC-SRV01","SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","0","False","False","PATH ACL","BUILTIN\Administrators","Owner","Owner",
"DC-SRV01","SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","0","False","False","PATH ACL","BUILTIN\Administrators","Write, ReadAndExecute, ChangePermissions, TakeOwnership, Synchronize","Allow",
"DC-SRV01","SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","0","False","False","PATH ACL","BUILTIN\Server Operators","ReadAndExecute, Synchronize","Allow",
"DC-SRV01","SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","0","False","False","PATH ACL","CREATOR OWNER","Write, ReadAndExecute, ChangePermissions, TakeOwnership, Synchronize","Allow",
"DC-SRV01","SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","0","False","False","PATH ACL","NT AUTHORITY\Authenticated Users","ReadAndExecute, Synchronize","Allow",
"DC-SRV01","SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","0","False","False","PATH ACL","NT AUTHORITY\SYSTEM","FullControl","Allow",
"DC-SRV01","SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","0","False","False","PATH ACL","S-1-5-21-3318670742-1788910955-930507466-1602","FullControl","Allow",
"DC-SRV01","SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","0","False","False","SMB ACL","BUILTIN\Administrators","FullControl","Allow",
"DC-SRV01","SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","0","False","False","SMB ACL","Everyone","ReadAndExecute, Synchronize","Allow",
"DC-SRV01","SYSVOL","C:\Windows\SYSVOL\sysvol","Logon server share ","0","False","False","SMB ACL","NT AUTHORITY\Authenticated Users","FullControl","Allow",
"DC-SRV01","NETLOGON","C:\Windows\SYSVOL\sysvol\earth.lo\SCRIPTS","Logon server share ","0","False","False","PATH ACL","BUILTIN\Administrators","FullControl","Allow",
"DC-SRV01","NETLOGON","C:\Windows\SYSVOL\sysvol\earth.lo\SCRIPTS","Logon server share ","0","False","False","PATH ACL","BUILTIN\Administrators","Owner","Owner",
"DC-SRV01","NETLOGON","C:\Windows\SYSVOL\sysvol\earth.lo\SCRIPTS","Logon server share ","0","False","False","PATH ACL","BUILTIN\Administrators","Write, ReadAndExecute, ChangePermissions, TakeOwnership, Synchronize","Allow",
"DC-SRV01","NETLOGON","C:\Windows\SYSVOL\sysvol\earth.lo\SCRIPTS","Logon server share ","0","False","False","PATH ACL","BUILTIN\Server Operators","ReadAndExecute, Synchronize","Allow",
"DC-SRV01","NETLOGON","C:\Windows\SYSVOL\sysvol\earth.lo\SCRIPTS","Logon server share ","0","False","False","PATH ACL","BUILTIN\Server Operators","ReadAndExecute, Synchronize","Allow",
"DC-SRV01","NETLOGON","C:\Windows\SYSVOL\sysvol\earth.lo\SCRIPTS","Logon server share ","0","False","False","PATH ACL","CREATOR OWNER","FullControl","Allow",
"DC-SRV01","NETLOGON","C:\Windows\SYSVOL\sysvol\earth.lo\SCRIPTS","Logon server share ","0","False","False","PATH ACL","NT AUTHORITY\Authenticated Users","ReadAndExecute, Synchronize","Allow",
"DC-SRV01","NETLOGON","C:\Windows\SYSVOL\sysvol\earth.lo\SCRIPTS","Logon server share ","0","False","False","PATH ACL","NT AUTHORITY\Authenticated Users","ReadAndExecute, Synchronize","Allow",
"DC-SRV01","NETLOGON","C:\Windows\SYSVOL\sysvol\earth.lo\SCRIPTS","Logon server share ","0","False","False","PATH ACL","NT AUTHORITY\SYSTEM","FullControl","Allow",
"DC-SRV01","NETLOGON","C:\Windows\SYSVOL\sysvol\earth.lo\SCRIPTS","Logon server share ","0","False","False","PATH ACL","NT AUTHORITY\SYSTEM","FullControl","Allow",
"DC-SRV01","NETLOGON","C:\Windows\SYSVOL\sysvol\earth.lo\SCRIPTS","Logon server share ","0","False","False","SMB ACL","BUILTIN\Administrators","FullControl","Allow",
"DC-SRV01","NETLOGON","C:\Windows\SYSVOL\sysvol\earth.lo\SCRIPTS","Logon server share ","0","False","False","SMB ACL","Everyone","ReadAndExecute, Synchronize","Allow",
